speedup_rate,start_time,end_time,original_duration,flag,character_count,original_character_count,translated_duration,difference
1.0043478260869565,6.06,14.34,8.316,False,44.0,136.0,8.316,0.03599999999999959
1.1350746268656717,14.34,19.7,6.084,False,34.0,103.0,6.084,0.7240000000000002
1.2391959798994963,67.16,75.12,9.864,False,52.0,177.0,9.864,1.9039999999999928
1.3529933481153,75.12,84.14,12.204,True,69.0,179.0,12.204,3.1840000000000046
1.0028571428571438,95.36,100.96,5.616,False,28.0,126.0,5.616,0.016000000000005343
1.1502551020408158,109.36,125.04,18.036,False,100.0,311.0,18.036,2.3559999999999945
1.033492822966509,149.12,157.48,8.64,False,45.0,139.0,8.64,0.28000000000001535
1.022568093385211,163.38,168.52,5.256,False,28.0,92.0,5.256,0.11599999999998545
1.0040201005025151,168.52,172.5,3.996,False,21.0,66.0,3.996,0.016000000000010228
1.2272727272727337,180.68,182.0,1.62,False,7.0,32.0,1.62,0.30000000000000693
1.0722021660649836,226.5,232.04,5.94,False,33.0,94.0,5.94,0.40000000000000835
1.2408284023668656,254.26,261.02,8.388,False,45.0,120.0,8.388,1.628000000000009
1.164432989690723,261.02,268.78,9.036,False,49.0,160.0,9.036,1.2760000000000087
1.163207547169809,268.78,273.02,4.932,False,25.0,82.0,4.932,0.6919999999999913
1.1869565217391342,298.12,303.64,6.552,False,36.0,120.0,6.552,1.0320000000000178
1.3432835820895774,344.06,345.4,1.8,True,10.0,28.0,1.8,0.46000000000002506
1.1045454545454423,345.4,348.92,3.888,False,21.0,67.0,3.888,0.36799999999996125
1.0363636363636417,348.92,354.2,5.472,False,28.0,76.0,5.472,0.1920000000000277
1.0201511335012596,384.5,392.44,8.1,False,42.0,136.0,8.1,0.16000000000000192
1.1473087818696879,401.0,408.06,8.1,False,43.0,161.0,8.1,1.0399999999999974
1.101779359430604,408.06,413.68,6.192,False,33.0,115.0,6.192,0.5719999999999956
1.3090909090909104,460.68,467.5,8.928,True,50.0,146.0,8.928,2.1080000000000076
1.0709497206703873,480.88,488.04,7.668,False,42.0,142.0,7.668,0.5079999999999751
1.1467075038284837,488.04,501.1,14.976,False,77.0,224.0,14.976,1.9159999999999986
1.003278688524591,501.1,510.86,9.792,False,51.0,175.0,9.792,0.03200000000000891
1.0783216783216734,510.86,519.44,9.252,False,47.0,134.0,9.252,0.6719999999999597
1.040366972477061,535.64,548.72,13.608,False,73.0,219.0,13.608,0.5279999999999596
1.0216216216216614,556.32,558.54,2.268,False,10.0,32.0,2.268,0.048000000000086196
1.2106194690265537,632.46,636.98,5.472,False,33.0,101.0,5.472,0.9520000000000186
1.0025316455696183,657.54,662.28,4.752,False,23.0,96.0,4.752,0.011999999999990685
1.0105263157894606,662.28,666.84,4.608,False,26.0,72.0,4.608,0.047999999999940535
1.2055299539170523,711.6,718.11,7.848,False,45.0,122.0,7.848,1.338000000000009
1.0565217391304491,728.84,732.52,3.888,False,19.0,76.0,3.888,0.20800000000004992
1.0969696969696974,794.96,806.84,13.032,False,68.0,224.0,13.032,1.1520000000000046
1.4612903225806344,817.66,821.38,5.436,True,30.0,78.0,5.436,1.7159999999999727
1.0588235294117718,821.38,824.78,3.6,False,19.0,74.0,3.6,0.20000000000002283
1.132780082987549,854.78,869.24,16.38,False,88.0,284.0,16.38,1.9199999999999626
1.0461538461538489,869.24,883.28,14.688,False,79.0,238.0,14.688,0.648000000000037
1.0291866028708256,939.2,947.56,8.604,False,47.0,127.0,8.604,0.24400000000009925
1.0704545454545433,947.56,963.4,16.956,False,98.0,287.0,16.956,1.1159999999999677
1.3248730964466822,963.4,967.34,5.22,True,26.0,64.0,5.22,1.2799999999999452
1.128,967.34,973.34,6.768,False,39.0,114.0,6.768,0.7679999999999998
1.1586206896551663,973.34,975.08,2.016,False,10.0,40.0,2.016,0.2759999999999909
1.3307142857142804,980.14,985.74,7.452,True,41.0,129.0,7.452,1.8519999999999772
1.4890909090908782,1008.56,1010.76,3.276,True,15.0,30.0,3.276,1.0759999999999543
1.1888888888888856,1010.76,1014.0,3.852,False,25.0,68.0,3.852,0.6119999999999908
1.0411467116357493,1023.6,1035.46,12.348,False,85.0,244.0,12.348,0.4879999999999871
1.1801886792452805,1035.46,1039.7,5.004,False,37.0,82.0,5.004,0.7639999999999905
1.017391304347833,1039.7,1050.28,10.764,False,59.0,218.0,10.764,0.1840000000000721
4.242857142857556,1050.28,1050.56,1.188,True,5.0,9.0,1.188,0.9080000000000272
7.799999999992315,1054.32,1054.44,0.936,True,3.0,6.0,0.936,0.8159999999998818
1.2272727272727866,1054.44,1055.76,1.62,False,7.0,31.0,1.62,0.30000000000006377
1.646808510638335,1055.76,1058.58,4.644,True,25.0,54.0,4.644,1.8240000000000638
1.0888888888888706,1081.36,1089.46,8.82,False,51.0,146.0,8.82,0.7199999999998639
1.16470588235291,1089.46,1091.16,1.98,False,9.0,34.0,1.98,0.2799999999999545
